CUSTOMER_NUMBER,BAD,GOOD,GB,DEMO_GENDER,DEMO_AGE,DEMO_STAFF_VIB,APP_CIF_AGE,APP_IB_AGE,APP_DATEDIFF_CIF_IB,APP_EB_REGISTER_CHANNEL,APP_SMS,APP_VERIFY_METHOD
419621,0,1,G,F,27,N,41,40,1,BRANCH,N,SMART_OTP
506687,0,1,G,M,39,N,40,40,0,BRANCH,Y,SMART_OTP
848702,0,1,G,F,24,N,34,34,0,BRANCH,Y,SMART_OTP
108297,0,1,G,F,25,N,33,33,0,BRANCH,N,SMART_OTP
103993,0,1,G,M,22,N,17,3,14,MYVIB,Y,SMS
206660,0,1,G,M,29,N,17,9,8,BRANCH,N,SMS
460722,0,1,G,F,28,N,16,16,0,BRANCH,Y,SMART_OTP
420138,1,0,B,M,22,N,86,75,11,MYVIB,Y,SMART_OTP
953689,0,1,G,F,32,Y,86,86,0,BRANCH,N,SMART_OTP
574505,0,1,G,F,31,N,83,83,0,BRANCH,Y,SMART_OTP
586600,0,1,G,M,25,N,75,74,1,BRANCH,Y,SMS
719317,0,1,G,F,25,N,80,73,7,BRANCH,Y,SMS
807173,0,1,G,M,21,N,83,44,39,MYVIB,N,SMART_OTP
363681,0,1,G,F,22,N,27,27,0,BRANCH,Y,SMS
647709,0,1,G,M,19,N,27,27,0,BRANCH,N,SMS
639314,0,1,G,F,24,N,79,79,0,BRANCH,Y,SMS
398445,0,1,G,F,28,N,72,72,0,BRANCH,Y,SMS
788186,0,1,G,M,35,N,72,72,0,MYVIB,N,SMS
865059,0,1,G,F,28,N,65,65,0,BRANCH,N,SMART_OTP
678565,0,1,G,M,26,N,68,36,32,MYVIB,Y,SMS
984343,0,1,G,M,35,N,30,20,10,BRANCH,N,SMS
177273,0,1,G,M,27,N,19,19,0,BRANCH,N,SMART_OTP
392326,0,1,G,F,25,N,18,18,0,BRANCH,Y,SMART_OTP
902823,0,1,G,F,27,N,12,12,0,BRANCH,Y,SMART_OTP
702918,0,1,G,M,20,N,5,5,0,BRANCH,N,SMS
923431,0,1,G,M,20,N,67,67,0,BRANCH,N,SMS
892447,0,1,G,M,41,N,58,58,0,BRANCH,Y,SMART_OTP
209260,0,1,G,M,43,N,58,45,13,BRANCH,N,SMART_OTP
770750,0,1,G,M,31,N,47,46,1,BRANCH,N,SMART_OTP
699662,0,1,G,M,36,N,47,44,3,BRANCH,N,SMART_OTP
206586,0,1,G,M,27,N,47,45,2,BRANCH,N,SMART_OTP
920543,0,1,G,F,36,N,47,47,0,BRANCH,Y,SMART_OTP
452899,0,1,G,F,22,N,46,46,0,BRANCH,N,SMS
468517,1,0,B,F,41,N,37,32,5,BRANCH,Y,SMS
140533,0,1,G,M,30,N,12,5,7,BRANCH,Y,SMART_OTP
900666,0,1,G,F,31,N,41,41,0,BRANCH,N,SMART_OTP
531526,0,1,G,M,36,N,41,39,2,BRANCH,Y,SMS
221574,0,1,G,F,58,N,41,41,0,BRANCH,Y,SMART_OTP
678146,1,0,B,M,25,N,40,40,0,BRANCH,Y,SMART_OTP
297749,0,1,G,F,17,N,40,40,0,BRANCH,Y,SMS
892299,0,1,G,M,28,N,34,33,1,BRANCH,Y,SMART_OTP
937651,0,1,G,F,22,N,34,34,0,BRANCH,N,SMART_OTP
791201,0,1,G,F,30,N,34,34,0,BRANCH,N,SMS
434387,0,1,G,F,26,Y,34,33,1,BRANCH,Y,SMART_OTP
867989,0,1,G,M,28,N,33,33,0,BRANCH,N,SMART_OTP
827471,0,1,G,F,29,N,33,33,0,BRANCH,N,SMART_OTP
509963,0,1,G,M,51,N,15,15,0,BRANCH,N,SMART_OTP
153774,0,1,G,M,27,N,12,5,7,BRANCH,Y,SMART_OTP
553092,1,0,B,F,28,N,87,74,13,BRANCH,N,SMART_OTP
811851,0,1,G,M,54,N,87,87,0,BRANCH,Y,SMS
871743,0,1,G,F,24,N,83,83,0,BRANCH,Y,SMART_OTP
685854,0,1,G,M,28,N,83,83,0,BRANCH,Y,SMART_OTP
156504,0,1,G,M,25,N,82,82,0,BRANCH,N,SMS
104526,0,1,G,F,41,N,86,81,5,BRANCH,N,SMS
725873,0,1,G,F,26,N,69,69,0,BRANCH,Y,SMART_OTP
90516,0,1,G,M,23,N,61,19,42,BRANCH,Y,SMART_OTP
198949,0,1,G,M,24,N,2,2,0,BRANCH,N,SMART_OTP
982610,0,1,G,M,32,N,88,88,0,BRANCH,Y,SMART_OTP
438619,0,1,G,M,32,N,76,76,0,BRANCH,N,SMS
18633,0,1,G,M,39,N,72,64,8,BRANCH,Y,SMART_OTP
775042,0,1,G,M,29,N,71,64,7,BRANCH,N,SMS
511813,0,1,G,F,39,N,45,45,0,BRANCH,Y,SMART_OTP
483117,0,1,G,M,36,N,45,44,1,BRANCH,Y,SMS
856340,0,1,G,M,24,N,38,38,0,BRANCH,N,SMS
755899,0,1,G,M,50,N,37,37,0,BRANCH,Y,SMART_OTP
143977,0,1,G,F,27,N,87,3,84,BRANCH,N,SMART_OTP
218016,0,1,G,F,26,N,76,18,58,BRANCH,N,SMS
210926,0,1,G,M,23,N,33,32,1,BRANCH,Y,SMS
47515,0,1,G,M,29,N,18,17,1,BRANCH,Y,SMART_OTP
954592,0,1,G,M,39,N,12,10,2,BRANCH,Y,SMS
156464,0,1,G,M,31,N,6,5,1,BRANCH,Y,SMART_OTP
612821,0,1,G,F,29,N,68,67,1,BRANCH,Y,SMART_OTP
538845,0,1,G,M,48,N,67,67,0,BRANCH,Y,SMS
668685,0,1,G,M,26,N,59,59,0,BRANCH,Y,SMS
790733,0,1,G,M,31,N,59,59,0,BRANCH,Y,SMS
348157,0,1,G,M,34,N,58,58,0,BRANCH,Y,SMS
60988,0,1,G,M,25,N,38,20,18,BRANCH,Y,SMART_OTP
327951,0,1,G,M,21,N,12,4,8,BRANCH,Y,SMART_OTP
886173,0,1,G,F,23,N,11,11,0,BRANCH,Y,SMART_OTP
889843,0,1,G,M,44,N,9,9,0,BRANCH,Y,SMART_OTP
555090,0,1,G,F,28,N,44,44,0,BRANCH,Y,SMART_OTP
147335,0,1,G,F,26,N,43,41,2,BRANCH,Y,SMART_OTP
929137,0,1,G,F,31,N,40,40,0,BRANCH,N,SMART_OTP
189326,0,1,G,M,27,N,37,37,0,BRANCH,N,SMART_OTP
30957,0,1,G,F,63,N,36,36,0,BRANCH,N,SMART_OTP
77182,0,1,G,F,36,N,36,36,0,BRANCH,Y,SMART_OTP
357325,0,1,G,M,37,N,34,33,1,BRANCH,N,SMART_OTP
280683,0,1,G,F,23,N,17,17,0,BRANCH,Y,SMART_OTP
733130,1,0,B,M,31,N,87,87,0,BRANCH,Y,SMS
834445,0,1,G,M,41,N,85,85,0,BRANCH,Y,SMS
249516,0,1,G,F,35,N,79,39,40,BRANCH,Y,SMS
546235,0,1,G,M,23,N,73,44,29,MYVIB,Y,SMART_OTP
375994,0,1,G,M,32,N,39,38,1,BRANCH,Y,SMART_OTP
226743,0,1,G,F,21,N,27,12,15,MYVIB,Y,SMART_OTP
611043,0,1,G,M,49,N,20,20,0,BRANCH,Y,SMS
975323,0,1,G,F,25,N,5,5,0,BRANCH,Y,SMS
956264,1,0,B,F,32,N,75,75,0,BRANCH,N,SMART_OTP
990229,0,1,G,M,32,N,69,69,0,BRANCH,N,SMART_OTP
123046,0,1,G,M,24,N,20,20,0,BRANCH,Y,SMART_OTP
150486,0,1,G,M,29,N,20,20,0,BRANCH,Y,SMART_OTP
250994,0,1,G,M,31,N,19,18,1,BRANCH,N,SMS
583723,0,1,G,M,63,N,15,15,0,BRANCH,Y,SMART_OTP
190703,0,1,G,M,29,N,74,27,47,BRANCH,Y,SMS
803978,0,1,G,M,22,N,61,60,1,BRANCH,Y,SMS
543935,0,1,G,F,52,N,27,27,0,BRANCH,N,SMS
678524,0,1,G,M,28,N,23,23,0,BRANCH,Y,SMART_OTP
776631,1,0,B,M,21,N,22,22,0,BRANCH,Y,SMART_OTP
78275,0,1,G,F,26,N,87,87,0,BRANCH,N,SMART_OTP
478550,0,1,G,M,31,N,87,87,0,BRANCH,Y,SMART_OTP
491127,0,1,G,M,33,N,87,87,0,BRANCH,Y,SMS
619858,0,1,G,M,23,N,86,85,1,BRANCH,N,SMS
895049,0,1,G,M,45,N,76,76,0,BRANCH,Y,SMART_OTP
730682,0,1,G,M,34,N,82,48,34,MYVIB,N,SMS
259156,0,1,G,M,30,N,27,27,0,BRANCH,Y,SMS
657981,0,1,G,M,24,N,20,11,9,BRANCH,Y,SMART_OTP
9831,0,1,G,M,34,N,2,2,0,BRANCH,Y,SMART_OTP
759404,0,1,G,F,21,N,2,2,0,BRANCH,N,SMS
178716,0,1,G,M,33,N,85,85,0,BRANCH,Y,SMS
666644,0,1,G,F,23,N,73,40,33,BRANCH,Y,SMART_OTP
548298,0,1,G,M,38,N,68,11,57,BRANCH,N,SMS
79765,1,0,B,M,34,N,64,26,38,MYVIB,Y,SMS
910828,0,1,G,M,28,N,60,60,0,BRANCH,Y,SMART_OTP
170406,0,1,G,M,28,N,41,25,16,MYVIB,Y,SMART_OTP
703238,1,0,B,F,31,N,17,17,0,BRANCH,N,SMS
728548,0,1,G,M,20,N,44,44,0,BRANCH,Y,SMART_OTP
894796,1,0,B,F,24,N,44,44,0,BRANCH,N,SMS
958912,0,1,G,F,24,N,27,27,0,BRANCH,Y,SMS
932442,0,1,G,M,25,N,24,24,0,BRANCH,Y,SMS
27981,1,0,B,M,31,N,23,23,0,BRANCH,Y,SMART_OTP
401333,0,1,G,M,44,N,23,23,0,BRANCH,Y,SMART_OTP
23186,1,0,B,F,26,N,82,82,0,BRANCH,Y,SMS
990829,0,1,G,M,42,N,82,82,0,BRANCH,Y,SMS
218965,0,1,G,M,52,N,71,69,2,BRANCH,N,SMS
476628,0,1,G,M,18,N,16,13,3,BRANCH,Y,SMS
609987,0,1,G,M,19,N,60,60,0,BRANCH,N,SMART_OTP
25744,0,1,G,M,31,N,67,30,37,MYVIB,Y,SMS
444350,0,1,G,F,23,N,86,86,0,BRANCH,Y,SMART_OTP
381696,0,1,G,F,30,N,24,24,0,BRANCH,Y,SMART_OTP
963330,0,1,G,F,63,N,18,6,12,BRANCH,N,SMS
7946,0,1,G,F,57,N,76,66,10,BRANCH,N,SMS
689530,1,0,B,M,31,N,75,75,0,BRANCH,N,SMART_OTP
252502,0,1,G,M,24,N,59,59,0,BRANCH,Y,SMART_OTP
272350,0,1,G,F,22,N,48,39,9,BRANCH,N,SMS
685173,1,0,B,M,26,N,41,37,4,BRANCH,Y,SMS
770612,1,0,B,M,30,N,20,20,0,BRANCH,Y,SMART_OTP
976729,0,1,G,M,24,N,19,19,0,BRANCH,Y,SMART_OTP
712521,0,1,G,M,24,N,60,60,0,BRANCH,Y,SMS
823380,0,1,G,F,50,N,72,30,42,BRANCH,Y,SMART_OTP
157739,0,1,G,F,32,N,68,19,49,BRANCH,Y,SMART_OTP
301673,0,1,G,M,23,N,25,25,0,BRANCH,Y,SMS
641708,0,1,G,F,24,Y,23,23,0,BRANCH,Y,SMART_OTP
388226,1,0,B,M,48,N,86,83,3,BRANCH,N,SMS
822478,1,0,B,M,48,N,86,72,14,BRANCH,Y,SMS
497428,0,1,G,M,28,N,79,74,5,BRANCH,N,SMART_OTP
877490,0,1,G,M,25,N,39,39,0,BRANCH,Y,SMS
249510,1,0,B,M,36,N,87,87,0,BRANCH,Y,SMART_OTP
401858,0,1,G,M,28,N,71,71,0,BRANCH,N,SMART_OTP
87124,0,1,G,M,32,N,69,66,3,MYVIB,N,SMART_OTP
606303,0,1,G,M,53,N,41,41,0,BRANCH,Y,SMART_OTP
979932,0,1,G,M,30,N,38,17,21,BRANCH,Y,SMART_OTP
490626,0,1,G,F,24,N,20,19,1,BRANCH,Y,SMART_OTP
95781,0,1,G,M,22,N,2,2,0,BRANCH,N,SMART_OTP
59830,0,1,G,M,30,N,86,86,0,BRANCH,Y,SMART_OTP
734908,0,1,G,M,25,N,75,44,31,BRANCH,Y,SMART_OTP
330360,0,1,G,M,26,N,65,39,26,MYVIB,N,SMART_OTP
312537,0,1,G,F,23,Y,40,30,10,BRANCH,Y,SMART_OTP
963847,1,0,B,F,30,N,17,17,0,BRANCH,Y,SMART_OTP
927070,1,0,B,F,36,N,61,58,3,BRANCH,Y,SMS
700479,0,1,G,M,59,N,44,44,0,BRANCH,Y,SMS
108639,0,1,G,M,36,N,27,9,18,BRANCH,N,SMART_OTP
56525,0,1,G,F,24,Y,25,5,20,BRANCH,Y,SMART_OTP
768547,1,0,B,F,34,N,24,24,0,BRANCH,N,SMART_OTP
991310,1,0,B,M,36,N,22,22,0,BRANCH,Y,SMS
547645,0,1,G,F,47,N,19,18,1,BRANCH,N,SMS
685225,0,1,G,M,39,N,4,4,0,BRANCH,N,SMART_OTP
417251,0,1,G,F,28,N,82,82,0,BRANCH,N,SMS
977807,0,1,G,M,57,N,75,75,0,BRANCH,Y,SMART_OTP
446575,0,1,G,M,27,N,69,69,0,BRANCH,N,SMS
48326,1,0,B,M,20,N,26,26,0,BRANCH,N,SMS
20903,0,1,G,F,27,N,20,20,0,BRANCH,Y,SMS
660796,0,1,G,M,26,N,20,19,1,BRANCH,Y,SMS
652847,0,1,G,F,31,N,16,16,0,BRANCH,Y,SMART_OTP
722074,0,1,G,F,27,N,81,81,0,BRANCH,Y,SMS
503295,0,1,G,F,35,N,72,1,71,BRANCH,Y,SMS
921828,0,1,G,F,26,N,59,5,54,BRANCH,Y,SMART_OTP
632331,0,1,G,M,33,N,45,45,0,BRANCH,Y,SMART_OTP
504999,0,1,G,M,24,N,82,75,7,BRANCH,N,SMART_OTP
498421,0,1,G,M,39,N,45,38,7,BRANCH,N,SMS
252232,0,1,G,M,32,N,25,20,5,BRANCH,Y,SMS
898281,0,1,G,F,27,Y,24,15,9,BRANCH,Y,SMART_OTP
997276,0,1,G,M,25,N,20,20,0,BRANCH,Y,SMART_OTP
953363,1,0,B,F,19,N,83,83,0,BRANCH,N,SMS
561980,1,0,B,F,31,N,76,76,0,BRANCH,Y,SMART_OTP
491851,0,1,G,F,44,N,71,71,0,BRANCH,Y,SMS
923265,1,0,B,M,39,N,59,59,0,BRANCH,N,SMS
31536,0,1,G,F,29,N,82,31,51,BRANCH,Y,SMART_OTP
5651,0,1,G,F,21,N,20,20,0,BRANCH,Y,SMS
818181,0,1,G,F,27,N,20,19,1,BRANCH,N,SMART_OTP
196677,0,1,G,M,27,N,16,16,0,BRANCH,N,SMS
369803,0,1,G,F,39,N,83,83,0,BRANCH,N,SMART_OTP
315787,0,1,G,M,22,N,81,81,0,BRANCH,Y,SMS
240966,0,1,G,F,42,N,73,40,33,BRANCH,Y,SMART_OTP
60200,0,1,G,M,23,N,61,23,38,MYVIB,Y,SMART_OTP
580724,0,1,G,M,22,N,40,39,1,BRANCH,N,SMART_OTP
591368,0,1,G,M,29,N,18,12,6,MYVIB,Y,SMART_OTP
550224,0,1,G,F,47,N,17,17,0,BRANCH,Y,SMART_OTP
822283,0,1,G,F,31,N,86,86,0,BRANCH,N,SMART_OTP
654778,1,0,B,M,45,N,87,87,0,BRANCH,Y,SMS
331400,0,1,G,M,36,N,76,76,0,BRANCH,Y,SMART_OTP
601584,0,1,G,M,30,N,71,71,0,BRANCH,Y,SMS
827454,0,1,G,M,36,N,25,5,20,BRANCH,N,SMART_OTP
679071,0,1,G,M,29,N,86,56,30,MYVIB,N,SMART_OTP
252045,0,1,G,F,32,N,27,26,1,BRANCH,N,SMS
391517,0,1,G,F,28,N,26,26,0,BRANCH,Y,SMART_OTP
494315,0,1,G,F,19,N,20,9,11,BRANCH,Y,SMS
677141,0,1,G,F,29,N,16,15,1,BRANCH,N,SMART_OTP
141834,0,1,G,F,32,N,15,15,0,BRANCH,Y,SMART_OTP
185599,1,0,B,M,49,N,2,1,1,BRANCH,Y,SMS
392084,1,0,B,F,60,N,82,82,0,BRANCH,Y,SMS
435903,0,1,G,F,32,N,81,69,12,MYVIB,N,SMS
362073,0,1,G,M,26,N,40,40,0,BRANCH,N,SMS
124931,0,1,G,F,30,N,44,44,0,BRANCH,N,SMART_OTP
912922,1,0,B,M,19,N,26,26,0,BRANCH,Y,SMS
15982,0,1,G,M,19,N,23,23,0,BRANCH,N,SMS
649973,0,1,G,F,36,N,22,18,4,BRANCH,N,SMS
788594,0,1,G,M,22,N,20,19,1,BRANCH,N,SMART_OTP
361391,0,1,G,F,43,N,5,5,0,BRANCH,Y,SMART_OTP
364102,1,0,B,F,34,N,2,2,0,BRANCH,Y,SMS
29978,0,1,G,F,32,N,74,74,0,BRANCH,Y,SMART_OTP
888194,0,1,G,M,36,N,69,69,0,BRANCH,N,SMART_OTP
203536,1,0,B,M,24,N,62,62,0,BRANCH,Y,SMS
116468,0,1,G,F,28,N,24,24,0,BRANCH,N,SMART_OTP
837384,0,1,G,F,22,N,3,3,0,BRANCH,N,SMART_OTP
741116,1,0,B,M,35,N,68,62,6,BRANCH,Y,SMS
708847,1,0,B,F,47,N,62,61,1,BRANCH,Y,SMART_OTP
846627,1,0,B,M,23,N,44,44,0,BRANCH,N,SMS
523091,0,1,G,M,43,N,44,44,0,BRANCH,N,SMART_OTP
185949,0,1,G,F,22,N,43,43,0,BRANCH,Y,SMS
897577,0,1,G,M,24,N,4,4,0,BRANCH,Y,SMART_OTP
848,0,1,G,F,29,N,3,3,0,BRANCH,N,SMS
672483,0,1,G,M,26,N,3,3,0,BRANCH,Y,SMART_OTP
111948,0,1,G,F,20,N,73,73,0,BRANCH,N,SMART_OTP
22536,0,1,G,F,32,N,73,73,0,BRANCH,Y,SMART_OTP
739400,1,0,B,M,37,N,68,68,0,BRANCH,Y,SMS
320465,0,1,G,F,34,N,37,37,0,BRANCH,N,SMART_OTP
703818,0,1,G,F,23,N,5,3,2,BRANCH,Y,SMART_OTP
385239,0,1,G,F,62,N,4,4,0,BRANCH,Y,SMS
97885,0,1,G,M,32,N,3,3,0,BRANCH,Y,SMART_OTP
981279,0,1,G,F,27,N,69,66,3,BRANCH,Y,SMART_OTP
476592,0,1,G,M,23,N,68,68,0,BRANCH,Y,SMART_OTP
399840,0,1,G,M,37,N,3,3,0,BRANCH,N,SMS
465403,0,1,G,M,35,N,69,69,0,BRANCH,Y,SMART_OTP
13280,0,1,G,F,45,N,39,38,1,BRANCH,Y,SMS
843554,0,1,G,M,30,Y,3,3,0,BRANCH,Y,SMART_OTP
293829,0,1,G,F,33,N,3,3,0,BRANCH,N,SMART_OTP
964757,0,1,G,F,28,N,2,2,0,BRANCH,Y,SMART_OTP
612916,0,1,G,M,20,N,69,69,0,BRANCH,Y,SMART_OTP
413821,0,1,G,F,25,N,5,5,0,BRANCH,N,SMS
311539,0,1,G,F,25,N,80,80,0,BRANCH,N,SMS
340452,1,0,B,F,37,N,79,79,0,BRANCH,N,SMART_OTP
449723,0,1,G,M,33,N,73,73,0,BRANCH,Y,SMART_OTP
514736,0,1,G,M,21,N,3,3,0,BRANCH,Y,SMS
460744,1,0,B,F,34,N,47,27,20,BRANCH,Y,SMART_OTP
604934,1,0,B,F,38,N,-25,-36,11,BRANCH,N,SMS
752103,0,1,G,M,20,N,-267,-618,351,MYVIB,Y,SMART_OTP
608641,1,0,B,M,37,N,-142,-164,22,MYVIB,N,SMART_OTP
122814,0,1,G,M,44,N,74,74,0,BRANCH,N,SMS
193924,0,1,G,F,42,N,37,34,3,BRANCH,Y,SMART_OTP
949750,0,1,G,F,45,N,27,27,0,BRANCH,Y,SMS
592887,1,0,B,M,37,N,3,3,0,BRANCH,Y,SMS
540453,0,1,G,M,41,N,68,3,65,BRANCH,Y,SMS
805595,1,0,B,F,35,N,18,-690,708,BRANCH,N,SMART_OTP
981672,1,0,B,F,22,N,-179,-180,1,BRANCH,Y,SMART_OTP
421218,1,0,B,M,43,N,67,67,0,BRANCH,Y,SMS
755290,0,1,G,M,34,N,-40,-64,24,BRANCH,Y,SMS
88386,1,0,B,F,52,N,72,-177,249,BRANCH,Y,SMART_OTP
829656,1,0,B,M,45,N,-214,-214,0,BRANCH,Y,SMART_OTP
617787,1,0,B,M,25,N,-235,-235,0,BRANCH,N,SMART_OTP
998764,1,0,B,F,25,N,-43,-473,430,MYVIB,Y,SMART_OTP
792014,1,0,B,F,24,N,-170,-170,0,BRANCH,N,SMART_OTP
344071,1,0,B,F,24,N,-185,-185,0,BRANCH,N,SMART_OTP
377133,0,1,G,M,21,N,-12,-16,4,BRANCH,Y,SMART_OTP
600890,1,0,B,M,24,N,11,-279,290,BRANCH,Y,SMART_OTP
592698,1,0,B,M,37,N,61,20,41,BRANCH,Y,SMS
305562,0,1,G,F,34,N,9,8,1,BRANCH,N,SMS
292647,1,0,B,M,45,N,3,3,0,MYVIB,Y,SMART_OTP
595150,0,1,G,F,24,N,-1,-1,0,BRANCH,Y,SMART_OTP
519854,0,1,G,M,37,N,23,23,0,BRANCH,N,SMS
893679,0,1,G,F,42,N,88,25,63,BRANCH,N,SMART_OTP
562745,1,0,B,M,24,Y,-163,-164,1,BRANCH,Y,SMART_OTP
340052,0,1,G,M,30,N,10,-5,15,BRANCH,N,SMS
600318,0,1,G,F,43,N,-81,-81,0,BRANCH,Y,SMART_OTP
469788,1,0,B,M,27,N,80,80,0,BRANCH,Y,SMS
111010,0,1,G,M,34,N,33,33,0,BRANCH,Y,SMART_OTP
200413,1,0,B,F,27,N,-190,-190,0,BRANCH,N,SMART_OTP
137918,0,1,G,M,27,N,88,68,20,BRANCH,N,SMART_OTP
398975,0,1,G,M,35,N,87,87,0,BRANCH,N,SMART_OTP
851303,0,1,G,M,31,N,76,76,0,BRANCH,N,SMART_OTP
35339,0,1,G,M,39,N,69,48,21,BRANCH,N,SMART_OTP
427714,0,1,G,M,34,N,67,67,0,BRANCH,Y,SMS
352428,0,1,G,F,25,N,37,37,0,BRANCH,N,SMS
534343,0,1,G,M,31,N,75,10,65,BRANCH,N,SMART_OTP
124573,0,1,G,M,18,N,25,22,3,MYVIB,N,SMART_OTP
405881,0,1,G,F,36,N,25,10,15,BRANCH,Y,SMS
898081,0,1,G,M,37,N,25,19,6,BRANCH,N,SMART_OTP
537079,0,1,G,M,23,N,13,11,2,BRANCH,Y,SMART_OTP
496061,0,1,G,M,22,N,8,6,2,BRANCH,N,SMART_OTP
911782,0,1,G,F,35,N,8,8,0,BRANCH,Y,SMART_OTP
47913,0,1,G,M,37,N,6,6,0,BRANCH,N,SMS
577496,0,1,G,M,28,N,68,68,0,BRANCH,Y,SMS
33873,0,1,G,M,29,N,67,66,1,BRANCH,Y,SMART_OTP
678985,0,1,G,F,25,N,67,67,0,BRANCH,Y,SMS
55152,0,1,G,M,19,N,66,66,0,BRANCH,Y,SMART_OTP
105978,0,1,G,M,30,N,61,59,2,MYVIB,Y,SMART_OTP
862749,0,1,G,F,56,N,60,48,12,BRANCH,Y,SMS
994544,0,1,G,M,52,N,9,9,0,BRANCH,Y,SMS
