CUSTOMER_NUMBER,TIME_ID,BAD,GOOD,GB,TRANS_NO,TRANS_AMT_MAX,TRANS_AMT_MIN,TRANS_AMT_SUM,TRANS_AMT_AVG,TRANS_DATE,TRANS_WDAY,TRANS_HOUR,TRANS_LV1_TYPE,TRANS_LV2_TYPE
583529,1,0,1,G,9,4000000,10000,4554000,506000,9,6,9,2,3
64403,1,1,0,B,2,50000,10000,60000,30000,1,1,2,1,1
707375,1,0,1,G,2,2000000,30000,2030000,1015000,2,2,2,2,2
837925,1,0,1,G,0,0,0,0,0,0,0,1,0,0
183785,1,0,1,G,12,200000000,300000,255348000,21279000,8,5,12,2,2
72209,1,0,1,G,3,7000000,2000000,13000000,4333333.333,3,3,3,1,1
912038,1,0,1,G,6,2600000,100000,8007000,1334500,5,4,6,2,3
949306,1,0,1,G,28,82000000,8300000,876926000,32938530.3,12,7,22,2,3
470839,1,0,1,G,53,100000000,50000,1423330194,21764255.18,25,7,46,3,4
537396,1,0,1,G,1,100000,100000,100000,100000,1,1,1,1,1
51388,1,0,1,G,3,10000000,20000,10220000,3406666.667,3,2,3,2,2
354470,1,0,1,G,4,4800000,50000,7150000,1787500,3,3,3,2,3
316147,1,0,1,G,3,20000000,150000,22650000,7550000,3,2,3,1,2
661018,1,0,1,G,3,2000000,100000,2360000,786666.6667,3,3,3,2,2
407482,1,1,0,B,0,0,0,0,0,0,0,1,0,0
670277,1,0,1,G,1,50000,50000,50000,50000,1,1,1,1,1
408885,1,0,1,G,12,20000000,50000,26637000,2219750,6,4,12,2,3
235930,1,0,1,G,8,500000,20000,1460000,204285.7143,6,5,7,2,2
105329,1,0,1,G,4,328835.5,200000,1057671,264417.75,2,2,2,2,2
893039,1,0,1,G,20,5000000,10000,12277000,613850,13,7,18,2,4
831321,1,0,1,G,0,0,0,0,0,0,0,1,0,0
501606,1,0,1,G,4,700000,10000,780000,195000,3,2,4,2,2
38101,1,0,1,G,2,12000000,100000,12100000,6050000,2,2,2,2,2
383721,1,0,1,G,4,430000,50000,630000,185000,3,3,3,2,2
257369,1,0,1,G,0,0,0,0,0,0,0,1,0,0
706278,1,1,0,B,8,150000,20000,525000,65625,7,5,8,2,2
785287,1,0,1,G,1,19300000,19300000,19300000,19300000,1,1,1,1,1
842192,1,0,1,G,2,100000,30000,130000,65000,2,2,2,1,1
455717,1,0,1,G,5,20000000,50000,20250000,5050000,4,2,4,2,2
278087,1,0,1,G,0,0,0,0,0,0,0,1,0,0
871166,1,0,1,G,10,12000000,20000,19655000,1965500,9,7,10,2,3
518932,1,0,1,G,3,50000,20000,100000,33333.33333,3,2,3,1,1
774881,1,0,1,G,11,1000000,100,4320100,347010,10,6,10,2,4
985726,1,0,1,G,13,10000000,100000,32969425,2247452.083,11,7,12,2,3
980726,1,0,1,G,3,3000000,50000,3150000,1050000,3,2,3,2,3
251198,1,0,1,G,2,500000,320926,820926,410463,2,2,2,2,2
866370,1,0,1,G,0,0,0,0,0,0,0,1,0,0
268957,1,0,1,G,0,0,0,0,0,0,0,1,0,0
213437,1,0,1,G,13,18000000,50000,40982450,3152496.154,5,5,12,3,3
599335,1,0,1,G,22,1298690,10000,4528690,222184.5,16,7,20,2,3
454765,1,0,1,G,9,900000,20000,2080000,231111.1111,6,4,9,2,2
42242,1,0,1,G,2,10700000,80000,10780000,5390000,1,1,2,1,1
636024,1,0,1,G,1,250000,250000,250000,250000,1,1,1,1,1
717771,1,0,1,G,2,100000,50000,150000,75000,2,2,2,1,1
179958,1,0,1,G,9,200000,30000,830000,91250,7,5,8,1,2
797646,1,0,1,G,1,15000,15000,15000,15000,1,1,1,1,1
95161,1,0,1,G,2,1500000,1000000,2500000,1250000,2,2,2,1,2
846911,1,0,1,G,0,0,0,0,0,0,0,1,0,0
303879,1,0,1,G,1,100000,100000,100000,100000,1,1,1,1,1
251436,1,0,1,G,3,330333.3333,330333.3333,991000,330333.3333,1,1,1,1,1
786187,1,1,0,B,1,8500000,8500000,8500000,8500000,1,1,1,1,1
994788,1,0,1,G,2,17300000,12500000,29800000,14900000,2,2,2,1,1
755593,1,0,1,G,6,10500000,700000,29900000,4983333.333,5,5,6,1,2
8517,1,0,1,G,2,190000,190000,380000,190000,1,1,1,1,1
459510,1,0,1,G,3,500000,10000,610000,203333.3333,2,2,3,2,2
457978,1,0,1,G,2,15000,15000,30000,15000,1,1,1,1,1
802979,1,0,1,G,2,1000000,10000,1010000,505000,2,2,2,2,2
33162,1,0,1,G,3,500000,130000,830000,276666.6667,3,3,3,1,1
916169,1,0,1,G,3,10000000,200000,12200000,4066666.667,3,3,3,1,1
488651,1,0,1,G,9,1500000,10000,2870000,318888.8889,7,5,7,2,3
53531,1,0,1,G,35,52000000,10000,610888000,17453942.86,24,7,34,2,3
879233,1,0,1,G,2,500000,100000,600000,300000,1,1,2,2,2
401591,1,0,1,G,4,1083000,20000,1365941,411490.1667,3,3,3,2,2
11842,1,0,1,G,4,219000,72000,469000,132333.3333,3,3,3,2,2
170406,1,0,1,G,11,320000,10000,1570000,148518.5185,8,4,9,2,3
390564,1,0,1,G,1,19000000,19000000,19000000,19000000,1,1,1,1,1
1215,1,0,1,G,2,205000,200000,405000,202500,2,2,2,2,2
319446,1,0,1,G,1,1000000,1000000,1000000,1000000,1,1,1,1,1
882556,1,0,1,G,1,61000,61000,61000,61000,1,1,1,1,1
39225,1,0,1,G,3,2000000,500000,3100000,1033333.333,3,3,3,1,2
27790,1,0,1,G,17,20300000,1500000,116655000,7225357.143,8,4,13,1,2
966360,1,0,1,G,5,3000000,100000,4000000,800000,4,3,5,2,3
760421,1,0,1,G,4,3000000,53500,3607000,1184500,3,3,3,2,3
800921,1,0,1,G,2,2000000,1000000,3000000,1500000,2,2,2,1,2
740622,1,0,1,G,0,0,0,0,0,0,0,1,0,0
586557,1,0,1,G,1,912000,912000,912000,912000,1,1,1,1,1
100866,1,0,1,G,6,18529100,4900000,59566600,10504970,3,3,5,1,1
297784,1,0,1,G,0,0,0,0,0,0,0,1,0,0
140719,1,0,1,G,0,0,0,0,0,0,0,1,0,0
303531,1,0,1,G,2,7511000,7511000,15022000,7511000,1,1,1,1,1
266967,1,0,1,G,1,5000000,5000000,5000000,5000000,1,1,1,1,1
451697,1,0,1,G,1,975000,975000,975000,975000,1,1,1,1,1
780553,1,0,1,G,2,700000,400000,1100000,550000,2,2,2,1,1
379190,1,0,1,G,1,490000,490000,490000,490000,1,1,1,1,1
517623,1,0,1,G,0,0,0,0,0,0,0,1,0,0
948237,1,0,1,G,2,6400000,1000000,7400000,3700000,2,2,2,1,1
188061,1,0,1,G,1,30100000,30100000,30100000,30100000,1,1,1,1,1
976220,1,0,1,G,0,0,0,0,0,0,0,1,0,0
780918,1,0,1,G,4,51500000,86000,53686000,13421500,4,3,4,1,2
397705,1,0,1,G,1,1853200,1853200,1853200,1853200,1,1,1,1,1
42081,1,0,1,G,2,30500000,30500000,61000000,30500000,1,1,1,1,1
777475,1,0,1,G,1,100000,100000,100000,100000,1,1,1,1,1
375994,1,0,1,G,11,20000000,1000000,76804000,7195400,7,5,10,1,2
491217,1,1,0,B,3,3000000,1300000,5600000,1866666.667,3,2,3,1,1
575821,1,0,1,G,2,5000000,20000,5020000,2510000,2,2,2,2,2
342245,1,0,1,G,3,20000,10000,50000,16666.66667,1,1,3,1,1
180368,1,0,1,G,1,10000,10000,10000,10000,1,1,1,1,1
637529,1,0,1,G,2,10000000,1000000,11000000,5500000,2,2,2,1,2
324002,1,0,1,G,1,47500000,47500000,47500000,47500000,1,1,1,1,1
490801,1,0,1,G,2,50000000,21697000,71697000,35848500,2,2,2,1,1
558197,1,0,1,G,0,0,0,0,0,0,0,1,0,0
557984,1,0,1,G,0,0,0,0,0,0,0,1,0,0
224581,1,0,1,G,0,0,0,0,0,0,0,1,0,0
216293,1,1,0,B,0,0,0,0,0,0,0,1,0,0
402533,1,0,1,G,2,30000,10000,40000,20000,2,2,2,2,2
357938,1,0,1,G,1,4000000,4000000,4000000,4000000,1,1,1,1,1
200711,1,1,0,B,6,100000,10000,190000,31666.66667,4,3,6,1,1
770683,1,0,1,G,5,10000000,300000,23050000,4610000,4,3,5,1,2
836328,1,0,1,G,0,0,0,0,0,0,0,1,0,0
354060,1,0,1,G,1,200000,200000,200000,200000,1,1,1,1,1
515548,1,0,1,G,0,0,0,0,0,0,0,1,0,0
866846,1,1,0,B,2,2100000,10000,2110000,1055000,1,1,2,2,2
128240,1,0,1,G,0,0,0,0,0,0,0,1,0,0
314752,1,0,1,G,3,500000,10000,1010000,336666.6667,3,3,3,2,2
138719,1,0,1,G,0,0,0,0,0,0,0,1,0,0
930910,1,0,1,G,4,4875133,200000,6825133,1706283.25,3,2,4,3,3
828488,1,1,0,B,2,1500000,1000000,2500000,1250000,2,2,2,1,1
160696,1,0,1,G,2,20000000,5000000,25000000,12500000,2,2,2,1,1
818237,1,0,1,G,1,7000000,7000000,7000000,7000000,1,1,1,1,1
468503,1,0,1,G,11,3350000,50000,11200000,546875,7,4,8,1,1
291000,1,0,1,G,0,0,0,0,0,0,0,1,0,0
622984,1,0,1,G,2,16200000,4000000,20200000,10100000,2,2,2,1,1
232681,1,0,1,G,3,200000,30000,260000,86666.66667,3,3,3,1,1
999224,1,0,1,G,3,30000,15000,65000,21666.66667,3,2,3,1,1
615350,1,0,1,G,1,7558000,7558000,7558000,7558000,1,1,1,1,1
826500,1,0,1,G,2,2577000,405650,2982650,1491325,2,2,2,1,1
161376,1,0,1,G,1,7000000,7000000,7000000,7000000,1,1,1,1,1
11477,1,0,1,G,0,0,0,0,0,0,0,1,0,0
91021,1,0,1,G,126,200000000,200000,2873070503,21419196.96,27,7,88,3,4
472405,1,0,1,G,19,33580000,100000,99688190,5923591.25,7,5,12,3,4
871921,1,0,1,G,14,19260000,1000,27730207,2301683.917,10,5,12,3,4
742952,1,0,1,G,0,0,0,0,0,0,0,1,0,0
757811,1,0,1,G,2,30000000,1200000,31200000,15600000,2,2,2,1,2
87621,1,0,1,G,1,777635,777635,777635,777635,1,1,1,1,1
487469,1,0,1,G,16,250000000,1883250,792805843,54403449.12,8,6,13,1,2
871743,1,0,1,G,4,2947000,150000,4597000,1149250,4,2,4,1,1
806250,1,0,1,G,3,45000000,449500,45899000,22724750,2,2,2,2,2
923387,1,0,1,G,8,233350835.5,40,1121567382,84302975.1,4,4,5,1,2
460902,1,0,1,G,12,3500000,65000,18165000,1466481.481,8,7,9,1,2
519057,1,0,1,G,4,500000,100000,900000,225000,4,4,4,1,1
105812,1,0,1,G,0,0,0,0,0,0,0,1,0,0
885039,1,0,1,G,2,10000000,100000,10100000,5050000,1,1,2,2,2
469200,1,0,1,G,1,2760546,2760546,2760546,2760546,1,1,1,1,1
519509,1,0,1,G,0,0,0,0,0,0,0,1,0,0
162890,1,0,1,G,3,36100000,10223,39110223,13036741,3,2,3,2,2
753381,1,0,1,G,1,500000,500000,500000,500000,1,1,1,1,1
847327,1,1,0,B,0,0,0,0,0,0,0,1,0,0
632268,1,0,1,G,1,11000000,11000000,11000000,11000000,1,1,1,1,1
425606,1,0,1,G,4,6500000,10000,7173862,1793465.5,3,3,4,2,2
671831,1,0,1,G,1,100000,100000,100000,100000,1,1,1,1,1
604232,1,0,1,G,3,5850000,1523000,12130500,4043500,2,2,3,1,1
136910,1,0,1,G,3,500000,105000,710000,302500,2,2,2,2,2
516194,1,0,1,G,2,380490,10000,390490,195245,2,2,2,2,2
368378,1,0,1,G,1,50000,50000,50000,50000,1,1,1,1,1
428172,1,0,1,G,7,5250000,100000,9180000,1311428.571,7,5,7,2,3
427714,1,0,1,G,10,18000000,140000,44340000,4434000,8,6,10,1,1
878884,1,0,1,G,1,233000,233000,233000,233000,1,1,1,1,1
545047,1,0,1,G,12,50000000,100000,112848000,11264800,9,5,10,2,2
678751,1,0,1,G,1,30000,30000,30000,30000,1,1,1,1,1
950387,1,0,1,G,3,6000000,100000,8100000,2700000,3,3,3,2,3
879079,1,0,1,G,3,500000,50000,600000,200000,2,2,3,2,2
186641,1,0,1,G,7,50000000,200000,127223144,18174734.86,7,5,7,2,2
638100,1,0,1,G,35,50000000,50000,126126000,3664000,20,7,33,2,2
248478,1,0,1,G,0,0,0,0,0,0,0,1,0,0
331550,1,0,1,G,3,1000000,63000,1141000,380333.3333,2,2,3,1,1
202844,1,0,1,G,6,90000000,70000,196270000,32711666.67,4,4,5,1,2
86074,1,0,1,G,9,2950000,100000,7210000,801111.1111,7,4,9,1,2
195974,1,0,1,G,9,3000000,50000,9800000,1088888.889,8,5,9,2,2
156437,1,0,1,G,7,400000,50000,1850000,264285.7143,7,3,7,2,2
377423,1,0,1,G,3,200000,75000,350000,137500,2,2,2,1,1
795761,1,0,1,G,10,5000000,50000,19278313,2199096.375,5,5,7,3,3
246436,1,0,1,G,5,5000000,10000,7110000,1422000,4,3,5,2,3
724589,1,0,1,G,1,360000,360000,360000,360000,1,1,1,1,1
453966,1,0,1,G,1,70000,70000,70000,70000,1,1,1,1,1
517631,1,0,1,G,3,1000000,235000,1735000,578333.3333,3,3,3,2,2
245759,1,0,1,G,1,7286932,7286932,7286932,7286932,1,1,1,1,1
702334,1,0,1,G,4,254000000,12000000,302500000,75625000,4,3,4,1,2
396430,1,0,1,G,1,3000000,3000000,3000000,3000000,1,1,1,1,1
227530,1,0,1,G,2,8000000,330000,8330000,4165000,1,1,2,1,1
169180,1,0,1,G,1,10000,10000,10000,10000,1,1,1,1,1
451756,1,0,1,G,1,899000,899000,899000,899000,1,1,1,1,1
192880,1,0,1,G,4,1000000,500000,3100000,775000,1,1,4,1,1
495671,1,0,1,G,1,235584,235584,235584,235584,1,1,1,1,1
938628,1,0,1,G,9,1400000,700000,8100000,890476.1905,3,3,6,1,2
524696,1,0,1,G,1,5000000,5000000,5000000,5000000,1,1,1,1,1
266201,1,0,1,G,3,10000000,5000000,20000000,6666666.667,3,2,3,1,1
63256,1,1,0,B,0,0,0,0,0,0,0,1,0,0
272927,1,0,1,G,3,11320000,1000000,13320000,4440000,3,3,3,1,2
486302,1,0,1,G,11,10000000,20000,23868000,2479611.111,6,5,8,2,3
185060,1,0,1,G,2,50000000,12000000,62000000,31000000,2,2,2,1,1
114517,1,0,1,G,6,12000000,100000,30500000,5270000,5,4,5,2,2
834610,1,0,1,G,2,12000000,3900000,15900000,7950000,2,1,2,1,1
56456,1,0,1,G,3,4000000,1000000,6900000,2300000,3,2,3,1,1
468844,1,0,1,G,3,110000000,20000,110040000,36680000,3,3,3,1,1
478380,1,0,1,G,0,0,0,0,0,0,0,1,0,0
879019,1,0,1,G,0,0,0,0,0,0,0,1,0,0
110641,1,1,0,B,11,3821952.875,600000,37425623,2515650.958,2,2,3,1,1
911596,1,0,1,G,1,1000000,1000000,1000000,1000000,1,1,1,1,1
567227,1,0,1,G,4,10000000,2000000,26000000,5333333.333,3,3,3,1,2
429865,1,0,1,G,12,1000000,50000,4210000,350833.3333,9,6,11,2,3
796186,1,0,1,G,0,0,0,0,0,0,0,1,0,0
955105,1,0,1,G,1,92000000,92000000,92000000,92000000,1,1,1,1,1
85887,1,0,1,G,10,200000000,2200000,566700000,56670000,7,5,10,1,1
780381,1,0,1,G,25,53000000,8700000,699399000,28125783.33,12,7,20,2,3
154218,1,0,1,G,2,50000,50000,100000,50000,1,1,2,1,1
45982,1,0,1,G,6,500000,20000,1030000,196000,4,4,5,2,3
645053,1,0,1,G,3,150000,50000,300000,100000,2,2,3,1,1
666409,1,0,1,G,1,100000,100000,100000,100000,1,1,1,1,1
10448,1,0,1,G,3,750000,500000,1750000,583333.3333,3,2,3,1,1
925638,1,0,1,G,5,3566666.667,3500000,17700000,3533333.333,2,2,2,1,1
458641,1,0,1,G,0,0,0,0,0,0,0,1,0,0
459578,1,0,1,G,0,0,0,0,0,0,0,1,0,0
211651,1,0,1,G,1,100000,100000,100000,100000,1,1,1,1,1
86601,1,0,1,G,2,5000000,328671,5328671,2664335.5,2,2,2,2,2
464235,1,1,0,B,2,50000,50000,100000,50000,2,2,2,1,1
636415,1,0,1,G,1,5000000,5000000,5000000,5000000,1,1,1,1,1
416611,1,0,1,G,3,6000000,50000,6250000,2083333.333,3,3,3,2,2
157686,1,0,1,G,1,5000000,5000000,5000000,5000000,1,1,1,1,1
118565,1,0,1,G,1,16438,16438,16438,16438,1,1,1,1,1
471818,1,0,1,G,0,0,0,0,0,0,0,1,0,0
857648,1,0,1,G,6,900000,10000,2500000,416666.6667,4,4,6,1,1
243718,1,1,0,B,0,0,0,0,0,0,0,1,0,0
454799,1,0,1,G,1,600000,600000,600000,600000,1,1,1,1,1
968112,1,0,1,G,3,1000000,50000,1550000,516666.6667,2,2,3,1,1
564446,1,0,1,G,6,60000,10000,200000,33333.33333,4,4,6,1,1
445892,1,0,1,G,8,5818000,50000,8311000,1038875,7,5,8,1,2
443523,1,0,1,G,0,0,0,0,0,0,0,1,0,0
741440,1,1,0,B,0,0,0,0,0,0,0,1,0,0
40850,1,0,1,G,4,1500000,180000,2345000,586250,4,4,4,1,1
244651,1,0,1,G,6,2500000,10000,2926000,564600,4,3,5,1,2
270591,1,0,1,G,1,2117000,2117000,2117000,2117000,1,1,1,1,1
193524,1,0,1,G,1,9600000,9600000,9600000,9600000,1,1,1,1,1
401631,1,0,1,G,1,3000000,3000000,3000000,3000000,1,1,1,1,1
353758,1,0,1,G,1,200000,200000,200000,200000,1,1,1,1,1
358654,1,0,1,G,2,180000,60000,240000,120000,2,2,2,1,1
881062,1,1,0,B,1,125000,125000,125000,125000,1,1,1,1,1
981540,1,0,1,G,2,863410,220000,1083410,541705,2,2,2,1,1
285302,1,0,1,G,7,4000000,100000,8890000,1270000,6,5,6,2,2
957317,1,0,1,G,3,5000000,500000,6500000,2166666.667,3,3,3,1,1
648167,1,1,0,B,12,11596000,300000,31376000,2670545.455,6,5,10,1,2
608969,1,1,0,B,6,400000,30000,680000,113333.3333,6,4,6,2,2
822277,1,0,1,G,33,2000000,100000,35195000,1066515.152,15,7,33,2,3
549912,1,0,1,G,1,2000000,2000000,2000000,2000000,1,1,1,1,1
150225,1,0,1,G,8,2000000,14857.14286,2104000,1007428.571,2,2,2,1,2
874428,1,0,1,G,1,4000000,4000000,4000000,4000000,1,1,1,1,1
518100,1,0,1,G,16,140000000,9500000,409967000,41242111.11,3,3,6,2,3
881861,1,0,1,G,2,300000000,4500000,304500000,152250000,1,1,2,1,1
487100,1,0,1,G,1,249750000,249750000,249750000,249750000,1,1,1,1,1
204542,1,0,1,G,4,17000000,3000000,27000000,7833333.333,1,1,2,1,2
483756,1,0,1,G,5,1000000,100000,2300000,460000,5,5,5,2,2
9303,1,0,1,G,13,8040000,1462,16116462,1315538.5,5,4,12,3,4
425305,1,0,1,G,3,50000000,15899000,100899000,33633000,2,2,3,2,2
337725,1,0,1,G,4,1500000,20000,2420000,605000,4,4,4,2,2
455953,1,1,0,B,2,245000,143000,388000,194000,2,2,2,1,2
921084,1,0,1,G,4,200000000,4800000,454800000,113700000,4,4,4,1,1
637261,1,0,1,G,7,1000000,18,4719018,674145.4286,4,4,7,2,3
10276,1,0,1,G,11,5000000,50000,13874150,1261286.364,9,5,11,2,4
169772,1,0,1,G,8,1400000,30000,4260000,532500,6,5,7,2,3
834445,1,0,1,G,6,2000000,50000,3400000,566666.6667,5,3,5,2,3
619496,1,0,1,G,1,1750000,1750000,1750000,1750000,1,1,1,1,1
97101,1,0,1,G,1,200000,200000,200000,200000,1,1,1,1,1
658657,1,0,1,G,17,4250000,1000,26504788,979065.6667,9,6,12,3,4
591583,1,0,1,G,5,9000000,100000,15200000,3775000,4,4,4,2,2
345802,1,0,1,G,3,300000,10000,340000,113333.3333,3,2,3,1,1
962911,1,1,0,B,0,0,0,0,0,0,0,1,0,0
897435,1,1,0,B,2,85000,80000,165000,82500,1,1,2,1,1
112571,1,0,1,G,3,600000,50000,750000,250000,2,2,2,2,2
910663,1,0,1,G,0,0,0,0,0,0,0,1,0,0
118682,1,0,1,G,1,100000,100000,100000,100000,1,1,1,1,1
385854,1,0,1,G,4,4300000,10000,5020000,1255000,3,3,4,2,4
929144,1,0,1,G,11,16500000,100000,40470000,3679090.909,10,6,11,2,4
160784,1,0,1,G,5,20000000,193087,21079261,6897695.667,3,2,3,2,3
381676,1,1,0,B,0,0,0,0,0,0,0,1,0,0
18313,1,0,1,G,6,5000000,82000,11182000,1863666.667,4,4,6,2,3
96992,1,0,1,G,0,0,0,0,0,0,0,1,0,0
759133,1,0,1,G,2,50000,20000,70000,35000,2,1,2,1,1
538845,1,0,1,G,0,0,0,0,0,0,0,1,0,0
602630,1,0,1,G,5,2460000,50000,2660000,532000,5,4,5,2,2
400854,1,0,1,G,3,300000,20000,370000,123333.3333,3,3,3,2,2
33892,1,0,1,G,10,3000000,10000,3870000,387000,9,5,10,2,3
218799,1,0,1,G,11,5000000,10000,12490000,1375185.185,8,5,9,2,3
654984,1,0,1,G,2,500000,50000,550000,275000,2,2,2,2,2
468751,1,0,1,G,4,2000000,10000,2420000,803333.3333,2,2,3,2,2
40041,1,0,1,G,4,1100000,20000,1170000,292500,3,3,4,2,2
491810,1,0,1,G,4,1395000,350000,2645000,661250,3,3,4,1,1
319027,1,0,1,G,6,400000,20000,610000,101666.6667,6,5,6,2,2
321121,1,0,1,G,2,200000,20000,220000,110000,2,2,2,2,2
13578,1,0,1,G,2,10000000,1000000,11000000,5500000,2,2,2,1,1
987258,1,0,1,G,0,0,0,0,0,0,0,1,0,0
125418,1,0,1,G,4,2285000,500000,3985000,996250,4,4,4,2,2
733994,1,0,1,G,4,10000000,3000000,26055779,6513944.75,4,4,4,1,1
326718,1,0,1,G,2,50000,50000,100000,50000,2,2,2,1,1
613958,1,0,1,G,4,25000000,200000,44200000,11050000,4,3,4,2,2
195679,1,0,1,G,7,2250000,20000,5450000,778571.4286,4,4,7,2,2
947474,1,0,1,G,5,1700000,200000,3700000,875000,4,4,4,2,2
528173,1,0,1,G,1,100000,100000,100000,100000,1,1,1,1,1
55634,1,0,1,G,6,3400000,50000,7410000,1472000,4,4,4,2,4
261724,1,0,1,G,1,500000,500000,500000,500000,1,1,1,1,1
388982,1,0,1,G,2,200000,20000,220000,110000,2,2,2,2,2
728107,1,0,1,G,7,6000000,10000,6890000,984285.7143,7,6,7,2,2
794461,1,0,1,G,26,17000000,100000,89655000,3480800,16,6,24,2,3
546235,1,0,1,G,0,0,0,0,0,0,0,1,0,0
308573,1,0,1,G,1,661000,661000,661000,661000,1,1,1,1,1
247201,1,0,1,G,3,534600,55000,644600,294800,2,1,2,2,2
685062,1,0,1,G,2,1000000,500000,1500000,750000,2,2,2,1,2
392368,1,0,1,G,2,5000000,2000000,7000000,3500000,2,2,2,1,1
222466,1,0,1,G,1,300000,300000,300000,300000,1,1,1,1,1
765924,1,0,1,G,4,7343241,3780000,22123241,5530810.25,4,3,4,1,1
459878,1,0,1,G,2,100000,100000,200000,100000,2,2,2,1,1
244543,1,0,1,G,5,15000000,3500000,41000000,8062500,4,2,4,1,1
734839,1,0,1,G,2,3500000,1380000,4880000,2440000,2,2,2,1,1
362764,1,0,1,G,1,200000,200000,200000,200000,1,1,1,1,1
755899,1,0,1,G,1,1999000,1999000,1999000,1999000,1,1,1,1,1
20188,1,0,1,G,6,2000000,20000,5370000,895000,5,4,6,2,2
487641,1,0,1,G,1,30000,30000,30000,30000,1,1,1,1,1
790449,1,0,1,G,25,6840000,20000,30958000,1279291.667,19,7,21,2,4
159431,1,0,1,G,2,2500000,2200000,4700000,2350000,2,2,2,1,2
406613,1,0,1,G,11,24000000,20600,32960100,2996372.727,9,6,11,2,2
123060,1,0,1,G,4,2000000,150000,3250000,812500,3,3,4,1,2
991843,1,0,1,G,22,400000000,3000000,2823600000,133004761.9,14,7,21,1,2
528683,1,0,1,G,2,400000,100000,500000,250000,2,2,2,2,2
837803,1,0,1,G,4,100000,20000,280000,70000,4,4,4,2,2
714102,1,0,1,G,18,6900000,50000,46460000,2473823.529,14,6,17,2,2
164966,1,0,1,G,9,46000000,5000000,206000000,22888888.89,7,4,9,1,1
572200,1,0,1,G,3,319718,250000,819718,273239.3333,3,3,3,2,2
542693,1,0,1,G,2,200000,20000,220000,110000,2,2,2,1,1
777973,1,0,1,G,3,400000,50000,500000,166666.6667,3,2,3,2,2
815226,1,0,1,G,2,350000,100000,450000,225000,2,2,2,1,2
400403,1,0,1,G,2,25000000,9780000,34780000,17390000,2,2,2,1,1
