CUSTOMER_NUMBER,TIME_ID,BAD,GOOD,GB,ACTIVITY_M_NO,ACTIVITY_M_DATE,ACTIVITY_M_WDAY,ACTIVITY_M_HOUR,ACTIVITY_M_NAME,ACTIVITY_NO,ACTIVITY_DATE,ACTIVITY_WDAY,ACTIVITY_HOUR,ACTIVITY_NAME
885618,1,0,1,G,39,7,5,9,5,67,7,5,10,8
431012,1,0,1,G,41,5,5,12,6,77,5,5,15,9
794979,1,0,1,G,69,9,6,12,5,123,9,6,12,10
583529,1,0,1,G,30,9,6,9,4,60,9,6,9,6
64403,1,1,0,B,16,4,3,5,3,31,4,3,5,5
707375,1,0,1,G,64,7,4,10,7,94,7,4,12,9
837925,1,0,1,G,0,0,0,1,0,0,0,0,1,0
183785,1,0,1,G,31,9,5,15,6,82,11,5,22,9
72209,1,0,1,G,48,8,5,8,5,71,8,5,10,8
912038,1,0,1,G,28,7,5,8,5,58,9,6,11,8
949306,1,0,1,G,130,17,7,33,5,230,17,7,44,8
470839,1,0,1,G,289,28,7,68,9,520,29,7,94,13
537396,1,0,1,G,49,11,6,11,4,85,11,6,11,6
51388,1,0,1,G,32,4,3,7,7,65,4,3,10,9
354470,1,0,1,G,86,13,6,17,6,140,13,6,22,8
316147,1,0,1,G,162,15,6,26,5,246,15,6,27,7
661018,1,0,1,G,11,3,3,3,5,22,4,4,5,7
407482,1,1,0,B,5,1,1,1,1,8,1,1,1,3
670277,1,0,1,G,6,3,3,3,3,15,3,3,3,5
408885,1,0,1,G,34,7,4,13,5,80,7,4,16,7
235930,1,0,1,G,63,10,7,13,5,109,10,7,16,8
105329,1,0,1,G,66,12,7,41,5,146,12,7,44,7
893039,1,0,1,G,214,21,7,54,9,381,21,7,59,11
831321,1,0,1,G,22,3,3,5,4,39,3,3,6,7
501606,1,0,1,G,82,11,6,14,5,123,11,6,19,8
38101,1,0,1,G,77,14,7,18,5,140,14,7,18,7
383721,1,0,1,G,30,7,4,8,4,58,7,4,8,6
257369,1,0,1,G,0,0,0,1,0,0,0,0,1,0
706278,1,1,0,B,197,15,7,29,8,285,15,7,35,11
785287,1,0,1,G,101,9,6,15,5,149,9,6,18,8
842192,1,0,1,G,67,7,6,14,5,120,7,6,16,9
455717,1,0,1,G,39,9,4,12,5,75,9,4,12,7
278087,1,0,1,G,13,3,3,3,3,22,3,3,4,6
871166,1,0,1,G,57,10,7,13,8,94,11,7,14,10
518932,1,0,1,G,14,3,2,3,2,22,3,2,4,4
774881,1,0,1,G,204,20,7,36,6,319,20,7,47,9
985726,1,0,1,G,190,22,7,46,11,338,23,7,56,14
980726,1,0,1,G,98,13,7,24,9,142,13,7,27,11
251198,1,0,1,G,82,6,6,7,8,101,6,6,7,11
866370,1,0,1,G,8,1,1,1,3,11,1,1,1,5
268957,1,0,1,G,0,0,0,1,0,0,0,0,1,0
213437,1,0,1,G,59,9,6,18,7,118,9,6,21,9
599335,1,0,1,G,82,11,6,14,6,124,11,6,17,8
454765,1,0,1,G,19,3,3,3,5,31,3,3,4,7
42242,1,0,1,G,51,5,4,7,5,69,5,4,7,7
636024,1,0,1,G,8,1,1,2,3,11,1,1,2,6
717771,1,0,1,G,36,5,4,7,3,58,5,4,8,6
179958,1,0,1,G,268,19,7,35,7,390,19,7,41,10
797646,1,0,1,G,39,5,4,12,5,76,5,4,13,7
95161,1,0,1,G,66,5,3,7,7,99,5,3,9,9
846911,1,0,1,G,28,2,1,2,4,34,2,1,3,6
303879,1,0,1,G,100,12,7,14,6,125,12,7,16,9
251436,1,0,1,G,12,1,1,2,3,24,2,2,4,5
786187,1,1,0,B,5,1,1,1,3,7,1,1,1,4
994788,1,0,1,G,13,3,2,3,4,21,3,2,4,6
755593,1,0,1,G,78,9,6,15,6,133,11,6,20,8
8517,1,0,1,G,248,12,7,37,7,381,13,7,45,10
459510,1,0,1,G,124,9,5,14,6,171,9,5,14,9
457978,1,0,1,G,233,11,6,17,7,293,11,6,21,10
802979,1,0,1,G,99,7,4,8,5,147,7,4,10,8
33162,1,0,1,G,152,10,7,19,6,212,10,7,22,8
916169,1,0,1,G,39,6,4,8,7,62,6,4,11,10
488651,1,0,1,G,91,13,7,14,9,148,14,7,18,11
53531,1,0,1,G,866,30,7,129,8,1189,30,7,143,10
879233,1,0,1,G,181,9,7,17,7,239,9,7,25,10
401591,1,0,1,G,100,6,4,8,6,129,7,5,10,10
11842,1,0,1,G,264,11,6,16,7,315,11,6,21,12
170406,1,0,1,G,90,12,5,14,10,152,12,5,14,14
390564,1,0,1,G,20,2,2,3,8,34,2,2,4,12
1215,1,0,1,G,69,3,3,5,6,89,3,3,6,9
319446,1,0,1,G,197,6,5,10,7,241,6,5,15,13
882556,1,0,1,G,27,4,3,6,5,45,4,3,6,9
39225,1,0,1,G,45,11,6,15,6,94,12,6,20,9
27790,1,0,1,G,61,11,5,17,6,108,11,5,21,10
966360,1,0,1,G,208,11,6,17,8,301,11,6,17,12
760421,1,0,1,G,160,10,5,14,7,224,10,5,15,11
800921,1,0,1,G,69,7,5,9,6,98,7,5,9,9
740622,1,0,1,G,0,0,0,1,0,0,0,0,1,0
586557,1,0,1,G,64,6,5,10,4,85,6,5,12,7
100866,1,0,1,G,320,14,5,31,6,406,14,5,34,10
297784,1,0,1,G,358,13,6,19,9,424,13,6,24,11
140719,1,0,1,G,36,6,4,7,3,60,6,4,7,7
303531,1,0,1,G,60,6,5,11,5,108,6,5,11,7
266967,1,0,1,G,26,3,3,4,5,35,3,3,5,7
451697,1,0,1,G,16,5,4,5,3,30,5,4,6,6
780553,1,0,1,G,322,22,7,32,6,409,22,7,33,9
379190,1,0,1,G,73,12,7,15,4,121,12,7,21,7
517623,1,0,1,G,31,8,5,11,3,61,8,5,12,5
948237,1,0,1,G,4,2,2,2,2,10,2,2,3,4
188061,1,0,1,G,20,5,5,6,5,38,5,5,9,7
976220,1,0,1,G,16,2,2,3,3,25,2,2,3,5
780918,1,0,1,G,27,5,4,6,7,42,5,4,6,10
397705,1,0,1,G,52,5,3,8,7,110,8,6,16,9
42081,1,0,1,G,118,13,7,26,5,187,13,7,27,8
777475,1,0,1,G,143,6,5,9,5,168,6,5,10,8
375994,1,0,1,G,54,13,7,16,6,93,13,7,20,9
491217,1,1,0,B,22,3,2,5,4,37,3,2,6,7
575821,1,0,1,G,342,12,7,26,10,494,13,7,30,15
342245,1,0,1,G,84,6,5,13,8,167,6,5,15,13
180368,1,0,1,G,58,3,2,4,3,67,4,3,5,7
637529,1,0,1,G,73,4,4,6,7,101,4,4,8,10
324002,1,0,1,G,22,3,3,5,6,32,3,3,5,9
490801,1,0,1,G,88,6,4,9,5,110,6,4,11,8
558197,1,0,1,G,16,2,2,2,3,25,2,2,2,5
557984,1,0,1,G,54,2,2,3,4,63,2,2,3,6
224581,1,0,1,G,97,17,7,27,3,185,17,7,30,5
216293,1,1,0,B,12,1,1,1,2,15,1,1,2,4
402533,1,0,1,G,22,4,2,4,4,36,5,3,7,6
357938,1,0,1,G,71,2,2,8,7,101,2,2,11,9
200711,1,1,0,B,9,1,1,1,2,9,1,1,1,2
770683,1,0,1,G,44,5,3,7,8,70,6,4,11,11
836328,1,0,1,G,12,5,5,5,2,27,5,5,7,4
354060,1,0,1,G,0,0,0,1,0,0,0,0,1,0
515548,1,0,1,G,0,0,0,1,0,0,0,0,1,0
866846,1,1,0,B,13,2,2,4,3,25,2,2,5,5
128240,1,0,1,G,2,1,1,1,1,2,1,1,1,1
314752,1,0,1,G,108,7,6,12,7,153,7,6,17,9
138719,1,0,1,G,103,14,7,34,2,207,15,7,41,4
930910,1,0,1,G,41,4,3,6,4,59,4,3,6,7
828488,1,1,0,B,17,3,3,4,7,30,3,3,5,9
160696,1,0,1,G,49,6,4,6,4,67,6,4,6,6
818237,1,0,1,G,59,9,5,10,4,89,9,5,10,7
468503,1,0,1,G,3,1,1,1,2,3,1,1,1,2
291000,1,0,1,G,6,3,3,3,2,13,3,3,4,5
622984,1,0,1,G,42,8,6,12,4,81,8,6,15,6
232681,1,0,1,G,34,9,6,9,2,61,9,6,11,4
999224,1,0,1,G,24,2,2,3,4,30,2,2,3,6
615350,1,0,1,G,13,3,3,3,2,25,3,3,3,4
826500,1,0,1,G,84,5,3,7,3,111,5,3,10,5
161376,1,0,1,G,26,4,3,6,4,42,4,3,6,6
11477,1,0,1,G,3,1,1,1,2,6,1,1,1,4
91021,1,0,1,G,433,27,7,94,8,772,27,7,107,10
472405,1,0,1,G,92,9,6,18,7,152,9,6,26,9
871921,1,0,1,G,124,16,6,22,6,186,16,6,27,8
742952,1,0,1,G,1,1,1,1,1,3,1,1,1,3
757811,1,0,1,G,17,3,3,3,5,26,3,3,4,7
87621,1,0,1,G,539,28,7,97,5,918,28,7,98,8
487469,1,0,1,G,276,20,6,63,6,492,20,6,80,8
871743,1,0,1,G,25,5,3,5,4,42,5,3,6,6
806250,1,0,1,G,92,6,4,10,5,125,6,4,11,10
923387,1,0,1,G,50,7,5,10,6,90,7,5,14,10
460902,1,0,1,G,112,14,7,27,7,211,14,7,36,9
519057,1,0,1,G,80,12,5,13,4,119,12,5,20,6
105812,1,0,1,G,70,4,3,9,3,97,4,3,9,5
885039,1,0,1,G,25,2,2,3,5,34,2,2,4,8
469200,1,0,1,G,158,9,5,13,4,195,9,5,16,7
519509,1,0,1,G,11,3,3,3,2,23,4,4,4,4
162890,1,0,1,G,131,16,7,23,7,217,16,7,34,10
753381,1,0,1,G,108,9,5,18,5,165,9,5,18,8
847327,1,1,0,B,0,0,0,1,0,0,0,0,1,0
632268,1,0,1,G,12,4,4,6,5,23,4,4,6,8
425606,1,0,1,G,260,12,7,33,8,368,12,7,35,14
671831,1,0,1,G,81,5,4,7,5,102,5,4,8,8
604232,1,0,1,G,64,5,5,9,6,97,5,5,10,9
136910,1,0,1,G,116,8,6,15,5,170,8,6,17,9
516194,1,0,1,G,11,2,2,2,4,18,2,2,3,6
368378,1,0,1,G,90,7,5,9,6,120,7,5,10,9
428172,1,0,1,G,30,8,5,10,5,60,8,5,10,7
427714,1,0,1,G,70,11,6,19,4,149,12,6,26,6
878884,1,0,1,G,22,1,1,3,4,46,1,1,3,7
545047,1,0,1,G,102,14,5,20,5,171,14,5,22,7
678751,1,0,1,G,36,2,2,2,4,45,2,2,3,6
950387,1,0,1,G,21,6,4,6,5,39,6,4,8,7
879079,1,0,1,G,38,8,5,11,6,77,8,5,14,9
186641,1,0,1,G,462,22,7,45,8,607,22,7,54,11
638100,1,0,1,G,321,23,7,48,7,483,25,7,62,11
248478,1,0,1,G,16,3,2,3,5,24,3,2,3,7
331550,1,0,1,G,44,8,5,13,5,85,8,5,16,7
202844,1,0,1,G,78,11,7,21,8,145,11,7,25,12
86074,1,0,1,G,50,9,6,12,4,89,9,6,16,6
195974,1,0,1,G,33,5,5,7,6,42,5,5,7,8
156437,1,0,1,G,11,6,4,6,3,29,6,4,7,5
377423,1,0,1,G,10,2,2,3,3,19,2,2,4,5
795761,1,0,1,G,215,11,6,20,7,278,11,6,27,9
246436,1,0,1,G,18,6,4,6,5,36,6,4,8,8
724589,1,0,1,G,52,7,5,9,4,101,7,5,11,7
453966,1,0,1,G,55,9,7,11,5,85,9,7,12,8
517631,1,0,1,G,156,9,5,13,4,195,9,5,20,7
245759,1,0,1,G,122,8,6,9,3,148,8,6,14,6
702334,1,0,1,G,235,23,7,46,6,394,23,7,55,9
396430,1,0,1,G,126,11,6,18,5,191,11,6,24,8
227530,1,0,1,G,14,2,2,4,4,23,2,2,4,7
169180,1,0,1,G,62,5,5,7,6,97,5,5,8,10
451756,1,0,1,G,170,10,6,13,4,228,10,6,17,7
192880,1,0,1,G,37,1,1,5,5,52,1,1,6,8
495671,1,0,1,G,26,3,2,4,5,39,3,2,5,8
938628,1,0,1,G,196,16,7,26,7,274,16,7,32,10
524696,1,0,1,G,9,1,1,2,4,16,1,1,2,7
266201,1,0,1,G,60,9,6,10,4,89,9,6,12,6
63256,1,1,0,B,4,1,1,1,2,7,1,1,1,5
272927,1,0,1,G,37,7,5,10,5,66,7,5,12,8
486302,1,0,1,G,55,7,5,10,7,90,7,5,10,11
185060,1,0,1,G,20,3,2,4,5,35,3,2,6,9
114517,1,0,1,G,97,12,6,19,8,163,13,7,23,13
834610,1,0,1,G,139,15,7,24,4,228,15,7,32,8
56456,1,0,1,G,158,11,6,15,5,227,11,6,17,9
468844,1,0,1,G,40,6,4,8,5,67,6,4,9,8
478380,1,0,1,G,8,8,6,8,2,32,8,6,10,5
879019,1,0,1,G,0,0,0,1,0,0,0,0,1,0
110641,1,1,0,B,69,2,2,3,6,79,2,2,3,9
911596,1,0,1,G,49,7,6,10,6,83,7,6,11,9
567227,1,0,1,G,15,5,5,6,4,29,5,5,7,5
429865,1,0,1,G,42,8,5,12,4,82,9,5,14,7
796186,1,0,1,G,46,9,6,14,3,91,9,6,21,6
955105,1,0,1,G,59,6,4,9,4,91,6,4,9,7
85887,1,0,1,G,49,10,6,13,2,89,10,6,16,4
780381,1,0,1,G,71,15,7,24,5,158,15,7,26,7
154218,1,0,1,G,15,2,2,4,5,27,2,2,5,8
45982,1,0,1,G,75,6,6,10,8,114,6,6,10,11
645053,1,0,1,G,92,10,6,16,6,151,10,6,17,9
666409,1,0,1,G,14,2,2,2,6,21,2,2,3,9
10448,1,0,1,G,85,11,6,14,5,135,12,6,18,8
925638,1,0,1,G,25,4,3,9,2,49,4,3,10,4
458641,1,0,1,G,0,0,0,1,0,0,0,0,1,0
459578,1,0,1,G,3,1,1,1,2,6,1,1,2,4
211651,1,0,1,G,55,8,6,9,5,89,8,6,11,8
86601,1,0,1,G,102,5,4,14,9,161,5,4,17,12
464235,1,1,0,B,49,5,4,8,5,65,5,4,9,9
636415,1,0,1,G,42,4,4,6,3,57,4,4,6,6
416611,1,0,1,G,54,6,5,12,8,93,6,5,16,11
157686,1,0,1,G,31,1,1,1,6,34,1,1,1,9
118565,1,0,1,G,40,2,2,4,5,52,2,2,6,8
471818,1,0,1,G,116,11,6,11,3,149,11,6,13,5
857648,1,0,1,G,19,7,5,12,1,31,7,5,12,2
243718,1,1,0,B,0,0,0,1,0,0,0,0,1,0
454799,1,0,1,G,35,3,2,6,4,44,3,2,8,7
968112,1,0,1,G,0,0,0,1,0,0,0,0,1,0
564446,1,0,1,G,15,3,3,3,1,15,3,3,3,1
445892,1,0,1,G,79,10,7,16,5,137,10,7,20,7
443523,1,0,1,G,0,0,0,1,0,0,0,0,1,0
741440,1,1,0,B,0,0,0,1,0,0,0,0,1,0
40850,1,0,1,G,40,8,5,13,3,83,9,5,17,5
244651,1,0,1,G,132,17,6,35,7,269,17,6,39,10
270591,1,0,1,G,13,2,2,2,6,19,2,2,2,8
193524,1,0,1,G,95,5,5,8,4,122,5,5,14,6
401631,1,0,1,G,95,8,5,8,5,122,8,5,8,7
353758,1,0,1,G,14,4,2,4,3,26,4,2,5,5
358654,1,0,1,G,77,10,5,15,6,107,10,5,18,8
881062,1,1,0,B,11,2,2,2,3,18,2,2,2,5
981540,1,0,1,G,42,10,7,12,4,82,10,7,18,6
285302,1,0,1,G,147,11,6,13,5,187,11,6,14,7
957317,1,0,1,G,82,16,7,22,3,162,16,7,29,6
648167,1,1,0,B,136,7,6,20,6,201,7,6,24,8
608969,1,1,0,B,154,14,6,19,8,214,14,6,20,12
822277,1,0,1,G,135,16,7,47,7,279,16,7,59,11
549912,1,0,1,G,55,3,3,5,8,82,3,3,5,13
150225,1,0,1,G,225,14,7,30,8,376,14,7,32,13
874428,1,0,1,G,98,4,3,10,6,155,5,4,13,11
518100,1,0,1,G,108,5,5,14,8,157,5,5,16,11
881861,1,0,1,G,23,2,2,3,5,32,2,2,3,8
487100,1,0,1,G,6,1,1,2,2,12,1,1,2,5
204542,1,0,1,G,20,4,4,5,5,35,4,4,7,8
483756,1,0,1,G,191,16,7,28,7,260,16,7,31,11
9303,1,0,1,G,267,15,7,26,10,377,15,7,33,16
425305,1,0,1,G,228,9,6,15,6,280,9,6,16,9
337725,1,0,1,G,79,8,7,14,9,123,8,7,16,13
455953,1,1,0,B,60,3,3,6,9,78,3,3,6,12
921084,1,0,1,G,217,15,6,26,6,305,15,6,30,9
637261,1,0,1,G,62,6,6,13,7,116,6,6,18,11
10276,1,0,1,G,74,19,7,30,6,161,19,7,37,8
169772,1,0,1,G,127,8,5,14,6,172,8,5,17,8
834445,1,0,1,G,27,6,4,8,5,60,6,4,12,7
619496,1,0,1,G,114,13,5,24,6,188,13,5,28,8
97101,1,0,1,G,17,4,4,4,4,30,4,4,4,6
658657,1,0,1,G,291,18,7,36,10,498,18,7,41,14
591583,1,0,1,G,72,12,7,20,5,146,12,7,25,7
345802,1,0,1,G,67,10,6,11,4,97,10,6,12,6
962911,1,1,0,B,11,1,1,1,3,14,1,1,1,5
897435,1,1,0,B,4,2,1,2,1,4,2,1,2,1
112571,1,0,1,G,90,7,5,9,11,136,7,5,9,13
910663,1,0,1,G,57,1,1,1,4,62,2,2,3,6
118682,1,0,1,G,12,3,2,4,4,27,3,2,5,7
385854,1,0,1,G,34,3,3,4,6,47,3,3,4,8
929144,1,0,1,G,141,14,6,25,8,232,14,6,27,12
160784,1,0,1,G,67,9,5,11,6,100,9,5,11,9
381676,1,1,0,B,0,0,0,1,0,0,0,0,1,0
18313,1,0,1,G,56,7,4,13,8,95,7,4,13,10
96992,1,0,1,G,0,0,0,1,0,0,0,0,1,0
759133,1,0,1,G,28,9,4,10,4,47,9,4,10,6
538845,1,0,1,G,99,8,4,9,2,126,8,4,13,4
602630,1,0,1,G,103,19,7,24,4,177,19,7,31,6
400854,1,0,1,G,21,7,6,9,5,50,7,6,11,7
33892,1,0,1,G,64,12,6,16,6,112,12,6,20,8
218799,1,0,1,G,243,17,7,33,7,341,17,7,39,10
654984,1,0,1,G,18,4,4,5,5,37,4,4,5,7
468751,1,0,1,G,84,7,6,9,5,117,7,6,12,9
40041,1,0,1,G,28,7,6,9,4,55,7,6,11,7
491810,1,0,1,G,18,5,4,6,3,36,5,4,6,5
319027,1,0,1,G,109,9,6,19,5,163,9,6,23,7
321121,1,0,1,G,25,8,5,10,5,48,8,5,10,7
13578,1,0,1,G,53,3,3,3,7,75,3,3,3,10
987258,1,0,1,G,26,4,3,4,5,38,4,3,4,7
125418,1,0,1,G,77,10,7,12,9,120,11,7,16,12
733994,1,0,1,G,109,10,7,15,5,157,10,7,19,8
326718,1,0,1,G,57,11,6,14,6,100,11,6,16,8
613958,1,0,1,G,22,4,3,4,5,34,4,3,4,7
195679,1,0,1,G,37,5,5,12,5,79,5,5,13,7
947474,1,0,1,G,89,13,7,25,8,160,13,7,26,10
528173,1,0,1,G,45,3,3,5,5,69,3,3,5,8
55634,1,0,1,G,62,11,6,14,7,105,11,6,16,10
261724,1,0,1,G,149,4,4,8,3,176,4,4,10,5
388982,1,0,1,G,42,6,5,6,5,60,6,5,7,8
728107,1,0,1,G,31,8,7,10,6,68,9,7,15,8
794461,1,0,1,G,160,16,6,28,9,254,16,6,33,11
546235,1,0,1,G,119,7,5,9,4,146,7,5,11,7
308573,1,0,1,G,48,5,4,9,4,78,5,4,9,7
247201,1,0,1,G,82,6,5,11,4,118,7,5,14,7
685062,1,0,1,G,25,5,5,9,6,49,5,5,11,8
392368,1,0,1,G,69,12,7,13,4,111,12,7,13,7
222466,1,0,1,G,244,14,7,28,8,286,14,7,30,11
765924,1,0,1,G,44,5,3,6,4,62,5,3,8,6
459878,1,0,1,G,25,6,4,7,3,52,6,4,9,6
244543,1,0,1,G,18,7,4,7,2,41,7,4,7,4
734839,1,0,1,G,121,12,6,15,6,169,12,6,20,10
362764,1,0,1,G,69,9,6,17,6,128,9,6,24,11
755899,1,0,1,G,259,20,7,32,9,358,20,7,34,13
20188,1,0,1,G,549,19,7,45,8,680,19,7,56,10
487641,1,0,1,G,30,4,4,4,5,42,4,4,4,8
790449,1,0,1,G,82,18,7,21,8,167,18,7,30,10
159431,1,0,1,G,35,6,4,7,7,62,6,4,8,9
406613,1,0,1,G,336,24,7,44,5,464,24,7,58,8
123060,1,0,1,G,126,13,6,24,6,196,13,6,27,8
991843,1,0,1,G,73,14,7,26,6,160,14,7,34,8
528683,1,0,1,G,81,8,5,12,6,128,8,5,13,10
837803,1,0,1,G,245,20,7,37,7,332,21,7,46,10
714102,1,0,1,G,197,24,7,41,6,308,24,7,46,8
164966,1,0,1,G,139,16,7,30,9,240,16,7,33,12
572200,1,0,1,G,79,14,6,18,10,130,14,6,21,14
542693,1,0,1,G,161,5,5,15,7,192,5,5,16,11
777973,1,0,1,G,126,11,5,16,8,188,11,5,18,11
815226,1,0,1,G,33,3,3,3,7,44,3,3,5,12
400403,1,0,1,G,72,10,7,15,8,140,10,7,15,12
199778,1,0,1,G,166,8,6,10,7,194,8,6,11,11
69879,1,0,1,G,53,4,4,8,7,79,4,4,8,11
937756,1,0,1,G,23,3,2,3,6,35,3,2,4,10
225798,1,0,1,G,31,3,3,5,6,47,3,3,5,10
348422,1,0,1,G,14,4,3,4,5,26,4,3,4,9
536556,1,0,1,G,93,9,5,17,6,145,9,5,20,9
209761,1,0,1,G,84,12,7,17,9,146,12,7,24,13
467445,1,0,1,G,52,4,4,6,8,80,4,4,6,11
585824,1,0,1,G,176,14,6,23,8,261,14,6,29,10
23302,1,0,1,G,33,7,6,11,4,71,8,6,14,6
618884,1,0,1,G,128,14,6,16,9,173,14,6,17,12
953623,1,0,1,G,84,14,6,18,5,139,14,6,21,7
951771,1,0,1,G,18,7,4,7,2,40,8,5,9,4
38406,1,0,1,G,56,10,6,12,6,98,11,6,14,8
748731,1,1,0,B,0,0,0,1,0,0,0,0,1,0
598651,1,0,1,G,83,9,7,14,4,128,9,7,18,7
899548,1,0,1,G,0,0,0,1,0,0,0,0,1,0
196050,1,0,1,G,42,4,4,6,5,60,4,4,9,7
176315,1,0,1,G,142,9,5,13,4,183,9,5,15,6
151275,1,0,1,G,68,11,7,15,6,119,11,7,16,8
660102,1,0,1,G,49,9,6,12,6,88,10,6,16,8
894796,1,1,0,B,204,9,5,16,5,247,9,5,19,7
37812,1,0,1,G,0,0,0,1,0,0,0,0,1,0
641921,1,0,1,G,0,0,0,1,0,0,0,0,1,0
830201,1,0,1,G,65,9,5,12,8,109,9,5,16,11
558205,1,0,1,G,64,7,6,10,4,97,7,6,15,7
380343,1,0,1,G,335,11,7,36,9,471,12,7,41,14
487616,1,0,1,G,142,2,2,7,6,176,2,2,7,9
198949,1,0,1,G,452,3,3,15,9,518,3,3,15,14
452616,1,0,1,G,45,3,3,7,5,73,3,3,9,10
828709,1,0,1,G,21,2,2,4,4,33,2,2,5,7
261942,1,0,1,G,8,2,2,3,2,16,2,2,3,4
776951,1,0,1,G,67,4,4,5,7,86,6,5,10,10
453824,1,1,0,B,21,3,3,3,4,30,3,3,3,6
722696,1,0,1,G,50,7,5,12,5,89,7,5,16,7
165523,1,0,1,G,54,2,2,3,5,60,2,2,3,7
927249,1,0,1,G,78,7,5,15,6,130,7,5,16,9
991440,1,0,1,G,79,5,4,6,5,99,5,4,10,7
7913,1,0,1,G,114,7,3,9,5,142,7,3,10,7
118389,1,0,1,G,0,0,0,1,0,0,0,0,1,0
193201,1,0,1,G,11,4,4,4,3,23,4,4,6,5
879226,1,0,1,G,207,20,7,29,3,303,22,7,36,5
386462,1,1,0,B,0,0,0,1,0,0,0,0,1,0
682859,1,0,1,G,43,2,2,3,3,55,2,2,3,5
690834,1,0,1,G,31,7,5,8,6,62,7,5,11,9
637265,1,0,1,G,207,9,5,11,4,243,9,5,13,7
490898,1,0,1,G,7,2,2,2,2,13,2,2,2,5
144436,1,0,1,G,81,12,6,19,4,141,12,6,26,6
983410,1,0,1,G,4,1,1,1,3,7,1,1,1,5
390818,1,0,1,G,97,6,4,7,3,118,6,4,9,6
240966,1,0,1,G,87,8,5,12,5,130,8,5,15,9
731706,1,0,1,G,26,3,2,3,4,34,3,2,3,7
451388,1,0,1,G,21,4,3,5,3,36,4,3,6,5
25960,1,0,1,G,410,26,7,69,8,627,26,7,86,11
233887,1,0,1,G,42,3,3,3,5,51,3,3,3,8
512052,1,0,1,G,83,14,7,18,6,143,15,7,24,9
507839,1,0,1,G,94,11,6,21,3,164,11,6,27,6
785879,1,0,1,G,12,2,2,5,2,42,2,2,5,5
801756,1,0,1,G,16,1,1,1,5,30,1,1,1,9
126134,1,0,1,G,13,1,1,1,5,26,1,1,1,9
834449,1,0,1,G,52,7,5,10,4,86,7,5,10,6
866528,1,0,1,G,85,12,6,18,5,154,12,6,22,7
28208,1,0,1,G,27,4,4,5,5,45,4,4,7,7
822689,1,0,1,G,180,13,5,29,8,285,14,6,35,11
379694,1,0,1,G,206,17,7,28,4,294,17,7,35,7
300145,1,0,1,G,26,5,4,5,4,41,5,4,6,6
487200,1,0,1,G,118,14,7,25,4,198,15,7,35,6
268674,1,0,1,G,578,11,7,80,6,842,11,7,97,8
311061,1,0,1,G,55,5,4,9,6,78,5,4,10,9
332496,1,0,1,G,103,7,5,16,8,153,7,5,17,13
